classifier_name,dataset_name,accuracy
Series2Vec,ArticularyWordRecognition,0.987
Series2Vec,AtrialFibrillation,0.333
Series2Vec,BasicMotions,1
Series2Vec,CharacterTrajectories,0.99
Series2Vec,Cricket,1
Series2Vec,DuckDuckGeese,0.62
Series2Vec,EigenWorms,0.534
Series2Vec,Epilepsy,0.957
Series2Vec,ERing,0.848
Series2Vec,EthanolConcentration,0.297
Series2Vec,FaceDetection,0.544
Series2Vec,FingerMovements,0.59
Series2Vec,HandMovementDirection,0.351
Series2Vec,Handwriting,0.451
Series2Vec,Heartbeat,0.751
Series2Vec,InsectWingbeat,0.594
Series2Vec,JapaneseVowels,0.968
Series2Vec,Libras,0.783
Series2Vec,LSST,0.359
Series2Vec,MotorImagery,0.55
Series2Vec,NATOPS,0.883
Series2Vec,PEMS-SF,0.711
Series2Vec,PenDigits,0.944
Series2Vec,PhonemeSpectra,0.173
Series2Vec,RacketSports,0.658
Series2Vec,SelfRegulationSCP1,0.853
Series2Vec,SelfRegulationSCP2,0.567
Series2Vec,SpokenArabicDigits,0.988
Series2Vec,StandWalkJump,0.333
Series2Vec,UWaveGestureLibrary,0.846
TS2Vec,ArticularyWordRecognition,0.987
TS2Vec,AtrialFibrillation,0.2
TS2Vec,BasicMotions,0.975
TS2Vec,CharacterTrajectories,0.985
TS2Vec,Cricket,0.972
TS2Vec,DuckDuckGeese,0.62
TS2Vec,EigenWorms,0.748
TS2Vec,Epilepsy,0.957
TS2Vec,ERing,0.852
TS2Vec,EthanolConcentration,0.308
TS2Vec,FaceDetection,0.501
TS2Vec,FingerMovements,0.48
TS2Vec,HandMovementDirection,0.338
TS2Vec,Handwriting,0.515
TS2Vec,Heartbeat,0.717
TS2Vec,InsectWingbeat,0.466
TS2Vec,JapaneseVowels,0.943
TS2Vec,Libras,0.822
TS2Vec,LSST,0.474
TS2Vec,MotorImagery,0.5
TS2Vec,NATOPS,0.85
TS2Vec,PEMS-SF,0.682
TS2Vec,PenDigits,0.974
TS2Vec,PhonemeSpectra,0.172
TS2Vec,RacketSports,0.809
TS2Vec,SelfRegulationSCP1,0.812
TS2Vec,SelfRegulationSCP2,0.539
TS2Vec,SpokenArabicDigits,0.963
TS2Vec,StandWalkJump,0.333
TS2Vec,UWaveGestureLibrary,0.875
TS-TCC,ArticularyWordRecognition,0.973
TS-TCC,AtrialFibrillation,0.267
TS-TCC,BasicMotions,1
TS-TCC,CharacterTrajectories,0.985
TS-TCC,Cricket,0.972
TS-TCC,DuckDuckGeese,0.5
TS-TCC,EigenWorms,0.618
TS-TCC,Epilepsy,0.949
TS-TCC,ERing,0.874
TS-TCC,EthanolConcentration,0.285
TS-TCC,FaceDetection,0.519
TS-TCC,FingerMovements,0.48
TS-TCC,HandMovementDirection,0.243
TS-TCC,Handwriting,0.498
TS-TCC,Heartbeat,0.746
TS-TCC,InsectWingbeat,0.264
TS-TCC,JapaneseVowels,0.93
TS-TCC,Libras,0.867
TS-TCC,LSST,0.509
TS-TCC,MotorImagery,0.5
TS-TCC,NATOPS,0.822
TS-TCC,PEMS-SF,0.699
TS-TCC,PenDigits,0.974
TS-TCC,PhonemeSpectra,0.252
TS-TCC,RacketSports,0.776
TS-TCC,SelfRegulationSCP1,0.823
TS-TCC,SelfRegulationSCP2,0.533
TS-TCC,SpokenArabicDigits,0.98
TS-TCC,StandWalkJump,0.333
TS-TCC,UWaveGestureLibrary,0.753
TST,ArticularyWordRecognition,0.977
TST,AtrialFibrillation,0.133
TST,BasicMotions,1
TST,CharacterTrajectories,0.975
TST,Cricket,1
TST,DuckDuckGeese,0.62
TST,EigenWorms,0.534
TST,Epilepsy,0.949
TST,ERing,0.811
TST,EthanolConcentration,0.262
TST,FaceDetection,0.529
TST,FingerMovements,0.56
TST,HandMovementDirection,0.243
TST,Handwriting,0.286
TST,Heartbeat,0.746
TST,InsectWingbeat,0.105
TST,JapaneseVowels,0.941
TST,Libras,0.627
TST,LSST,0.408
TST,MotorImagery,0.51
TST,NATOPS,0.805
TST,PEMS-SF,0.74
TST,PenDigits,0.56
TST,PhonemeSpectra,0.151
TST,RacketSports,0.816
TST,SelfRegulationSCP1,0.754
TST,SelfRegulationSCP2,0.55
TST,SpokenArabicDigits,0.951
TST,StandWalkJump,0.267
TST,UWaveGestureLibrary,0.575
