Dataset,Series2Vec,TS2Vec,TS-TCC,TST
ArticularyWordRecognition,0.987,0.987,0.973,0.977
AtrialFibrillation,0.333,0.2,0.267,0.133
BasicMotions,1,0.975,1,1
CharacterTrajectories,0.99,0.985,0.985,0.975
Cricket,1,0.972,0.972,1
DuckDuckGeese,0.62,0.62,0.5,0.62
EigenWorms,0.534,0.748,0.618,0.534
Epilepsy,0.957,0.957,0.949,0.949
ERing,0.848,0.852,0.874,0.811
EthanolConcentration,0.297,0.308,0.285,0.262
FaceDetection,0.544,0.501,0.519,0.529
FingerMovements,0.59,0.48,0.48,0.56
HandMovementDirection,0.351,0.338,0.243,0.243
Handwriting,0.451,0.515,0.498,0.286
Heartbeat,0.751,0.717,0.746,0.746
InsectWingbeat,0.594,0.466,0.264,0.105
JapaneseVowels,0.968,0.943,0.93,0.941
Libras,0.783,0.822,0.867,0.627
LSST,0.359,0.474,0.509,0.408
MotorImagery,0.55,0.5,0.5,0.51
NATOPS,0.883,0.85,0.822,0.805
PEMS-SF,0.711,0.682,0.699,0.74
PenDigits,0.944,0.974,0.974,0.56
PhonemeSpectra,0.173,0.172,0.252,0.151
RacketSports,0.658,0.809,0.776,0.816
SelfRegulationSCP1,0.853,0.812,0.823,0.754
SelfRegulationSCP2,0.567,0.539,0.533,0.55
SpokenArabicDigits,0.988,0.963,0.98,0.951
StandWalkJump,0.333,0.333,0.333,0.267
UWaveGestureLibrary,0.846,0.875,0.753,0.575
